Date,Open,High,Low,Close,Adj Close,Volume
2016-01-08,8.480000,8.690000,8.290000,8.420000,7.725305,23231100
2016-01-11,8.460000,8.520000,7.950000,8.150000,7.477581,23091600
2016-01-12,8.040000,8.050000,7.710000,7.900000,7.248209,21541400
2016-01-13,7.820000,8.250000,7.800000,8.040000,7.376658,20811200
2016-01-14,7.900000,8.080000,7.440000,7.580000,6.954610,24017100
2016-01-15,7.990000,8.040000,7.770000,7.900000,7.248209,33732400
2016-01-19,7.960000,7.980000,7.390000,7.590000,6.963785,30794000
2016-01-20,7.800000,8.250000,7.770000,8.110000,7.440881,29243000
2016-01-21,7.920000,8.350000,7.820000,8.330000,7.642730,23635200
2016-01-22,8.100000,8.640000,8.090000,8.580000,7.872105,23255200
2016-01-25,8.740000,9.340000,8.690000,9.270000,8.505177,36763000
2016-01-26,9.410000,9.570000,9.290000,9.530000,8.743725,28802200
2016-01-27,9.290000,9.880000,9.230000,9.840000,9.028148,29434100
2016-01-28,9.530000,9.940000,9.300000,9.660000,8.862999,24911200
2016-01-29,9.500000,9.950000,9.500000,9.910000,9.092373,17992800
2016-02-01,10.030000,10.300000,9.880000,10.070000,9.239173,16790300
2016-02-02,9.900000,10.050000,9.650000,9.860000,9.046497,12446400
2016-02-03,9.980000,10.800000,9.960000,10.730000,9.844718,23070200
2016-02-04,10.910000,11.440000,10.840000,11.180000,10.257589,33191400
2016-02-05,10.820000,11.640000,10.610000,11.640000,10.679638,23223800
2016-02-08,11.930000,12.470000,11.790000,11.910000,10.927364,39140300
2016-02-09,12.050000,12.170000,11.180000,11.220000,10.294293,32384900
2016-02-10,10.920000,11.600000,10.570000,11.580000,10.624588,27524600
2016-02-11,12.610000,12.660000,11.910000,11.970000,10.982413,33803700
2016-02-12,11.690000,12.320000,11.620000,12.250000,11.239311,18949000
2016-02-16,11.560000,12.040000,11.490000,11.590000,10.633766,24508800
2016-02-17,11.730000,12.000000,11.500000,11.890000,10.909015,22669300
2016-02-18,11.760000,12.670000,11.680000,12.630000,11.587961,32225300
2016-02-19,12.460000,12.940000,12.400000,12.560000,11.523733,23409000
2016-02-22,12.160000,13.130000,12.120000,12.820000,11.762281,24530800
2016-02-23,12.950000,13.570000,12.900000,13.540000,12.422878,34525200
2016-02-24,13.920000,14.450000,13.160000,13.480000,12.367827,40165000
