Date	Open	High	Low	Close	Adj Close	Volume
01 07, 2022	1.791	1.797	1.784	1.797	1.797	30
01 06, 2022	1.787	1.791	1.787	1.788	1.788	30
01 05, 2022	1.813	1.824	1.813	1.824	1.824	8
01 04, 2022	1.800	1.815	1.800	1.814	1.814	38
01 03, 2022	1.830	1.830	1.798	1.799	1.799	116
12 31, 2021	1.825	1.827	1.821	1.827	1.827	80
12 30, 2021	1.801	1.816	1.796	1.812	1.812	306
12 29, 2021	1.803	1.805	1.791	1.805	1.805	623
12 28, 2021	1.812	1.818	1.805	1.810	1.810	146
12 27, 2021	1.810	1.812	1.807	1.808	1.808	150
12 23, 2021	1.806	1.811	1.800	1.811	1.811	193
12 22, 2021	1.786	1.805	1.785	1.801	1.801	567
12 21, 2021	1.791	1.796	1.787	1.787	1.787	575
12 20, 2021	1.796	1.799	1.792	1.793	1.793	226
12 17, 2021	1.804	1.812	1.803	1.803	1.803	654
12 16, 2021	1.781	1.798	1.781	1.796	1.796	21
12 15, 2021	1.767	1.778	1.753	1.762	1.762	283
12 14, 2021	1.787	1.787	1.769	1.770	1.770	322
12 13, 2021	1.784	1.787	1.783	1.786	1.786	206
12 10, 2021	1.773	1.785	1.769	1.782	1.782	545
12 09, 2021	1.783	1.783	1.771	1.774	1.774	455
12 08, 2021	1.789	1.789	1.779	1.783	1.783	1.383
12 07, 2021	1.779	1.786	1.772	1.782	1.782	308
12 06, 2021	1.780	1.783	1.777	1.777	1.777	381
12 03, 2021	1.767	1.785	1.766	1.782	1.782	694
12 02, 2021	1.780	1.780	1.760	1.760	1.760	1.557
12 01, 2021	1.774	1.790	1.772	1.781	1.781	1.128
11 30, 2021	1.783	1.808	1.768	1.773	1.773	4.903
11 29, 2021	1.791	1.798	1.779	1.782	1.782	26.926
11 26, 2021	1.791	1.791	1.785	1.785	1.785	186.800
11 25, 2021	1.791	1.791	1.791	1.791	1.791	188
11 24, 2021	1.793	1.793	1.781	1.784	1.784	188
11 23, 2021	1.795	1.795	1.783	1.783	1.783	264
11 22, 2021	1.841	1.841	1.805	1.806	1.806	14
11 19, 2021	1.851	1.851	1.851	1.851	1.851	21
11 18, 2021	1.861	1.861	1.861	1.861	1.861	9
11 17, 2021	1.862	1.869	1.862	1.869	1.869	2
11 16, 2021	1.853	1.853	1.853	1.853	1.853	1
11 15, 2021	1.864	1.866	1.864	1.866	1.866	87
11 12, 2021	1.860	1.867	1.847	1.867	1.867	210
11 11, 2021	1.853	1.866	1.853	1.863	1.863	292
11 10, 2021	1.825	1.865	1.824	1.847	1.847	795
11 09, 2021	1.826	1.832	1.820	1.830	1.830	170
11 08, 2021	1.817	1.827	1.816	1.827	1.827	261
11 04, 2021	1.794	1.817	1.794	1.816	1.816	239
11 03, 2021	1.776	1.798	1.776	1.793	1.793	103
11 02, 2021	1.768	1.768	1.761	1.763	1.763	108
11 01, 2021	1.790	1.795	1.787	1.788	1.788	213
10 31, 2021	1.787	1.795	1.786	1.795	1.795	142
10 28, 2021	1.793	1.797	1.774	1.783	1.783	583
10 27, 2021	1.795	1.807	1.795	1.801	1.801	452
10 26, 2021	1.791	1.798	1.791	1.797	1.797	543
10 25, 2021	1.808	1.808	1.788	1.792	1.792	359
10 24, 2021	1.794	1.809	1.794	1.806	1.806	140
10 21, 2021	1.787	1.806	1.784	1.795	1.795	532
10 20, 2021	1.782	1.785	1.781	1.781	1.781	146
10 19, 2021	1.774	1.785	1.774	1.784	1.784	127
10 18, 2021	1.777	1.785	1.767	1.769	1.769	51
10 17, 2021	1.761	1.770	1.759	1.764	1.764	266
10 14, 2021	1.794	1.795	1.766	1.767	1.767	874
10 13, 2021	1.792	1.799	1.792	1.796	1.796	337
10 12, 2021	1.760	1.794	1.760	1.793	1.793	150
10 11, 2021	1.751	1.768	1.749	1.758	1.758	139
10 10, 2021	1.756	1.757	1.752	1.754	1.754	128
10 07, 2021	1.757	1.780	1.754	1.756	1.756	254
10 06, 2021	1.762	1.762	1.752	1.757	1.757	336
